Year,AZ,CA,CO,HI,IL,LA,MA,MS,ND,NM,UT
2013,10562.0,118552.0,9754.0,6335.0,13425.0,5226.0,19029.0,2403.0,2069.0,2819.0,3277.0
2014,10495.0,113952.0,10028.0,6918.0,13107.0,4606.0,21237.0,2226.0,1258.0,2746.0,3081.0
2015,9896.0,115738.0,9953.0,7620.0,13177.0,4081.0,21135.0,1983.0,1305.0,2629.0,3025.0
2016,9707.0,118142.0,10550.0,7921.0,11590.0,3994.0,19608.0,1738.0,923.0,2263.0,2807.0
2017,8947.0,131532.0,10940.0,7220.0,10798.0,3305.0,17565.0,1472.0,1089.0,2482.0,2852.0
2018,9865.0,129972.0,10857.0,6530.0,10643.0,3059.0,20068.0,1352.0,542.0,2551.0,2876.0
2019,10007.0,151278.0,9619.0,6412.0,10199.0,2941.0,18471.0,1184.0,557.0,3241.0,2798.0
2020,10979.0,161548.0,9846.0,6458.0,10431.0,3173.0,17975.0,1107.0,541.0,3333.0,3131.0
2021,5460.0,57468.0,8544.0,2490.0,7958.0,2131.0,15079.0,626.0,548.0,2747.0,3565.0
2022,13553.0,171521.0,10397.0,5967.0,9212.0,7373.0,15507.0,1196.0,610.0,2560.0,3557.0
2023,14237.0,181399.0,14439.0,6223.0,11947.0,3169.0,19141.0,982.0,784.0,3842.0,3687.0
