,StateName,2015,2016,2017,2018,2019,2020,2021,2022,2023,Increase
0,AK,1222.0,1210.0,1196.0,1205.0,1219.0,1236.0,1371.0,1539.0,1624.0,402.0
1,AL,859.0,889.0,949.0,981.0,1035.0,1106.0,1193.0,1289.0,1285.0,426.0
2,AR,894.0,861.0,914.0,923.0,953.0,986.0,1049.0,1134.0,1080.0,186.0
3,AZ,937.0,984.0,1034.0,1197.0,1295.0,1364.0,1626.0,1564.0,1568.0,631.0
4,CA,1507.0,1635.0,1778.0,1898.0,1994.0,2028.0,2207.0,2331.0,2240.0,733.0
5,CO,1194.0,1240.0,1318.0,1381.0,1435.0,1469.0,1583.0,1770.0,1827.0,633.0
6,CT,1182.0,1212.0,1230.0,1266.0,1296.0,1335.0,1468.0,1619.0,1733.0,551.0
7,DE,1195.0,1155.0,1152.0,1181.0,1219.0,1265.0,1480.0,1628.0,1670.0,475.0
8,FL,1071.0,1114.0,1175.0,1248.0,1343.0,1380.0,1584.0,1918.0,1935.0,864.0
9,GA,923.0,942.0,943.0,974.0,1011.0,1048.0,1219.0,1357.0,1393.0,470.0
10,HI,2049.0,2078.0,2126.0,2161.0,2209.0,2215.0,2453.0,2535.0,2635.0,586.0
11,IA,875.0,922.0,890.0,855.0,869.0,890.0,929.0,978.0,1036.0,161.0
12,ID,779.0,833.0,1043.0,1117.0,1190.0,1260.0,1573.0,1298.0,1283.0,504.0
13,IL,772.0,765.0,764.0,771.0,791.0,814.0,893.0,1000.0,1021.0,249.0
14,IN,726.0,754.0,789.0,839.0,880.0,935.0,1006.0,1045.0,1085.0,359.0
15,KS,763.0,771.0,827.0,799.0,822.0,855.0,907.0,955.0,966.0,203.0
16,KY,867.0,909.0,934.0,943.0,952.0,974.0,1012.0,1139.0,1235.0,368.0
17,LA,1064.0,1000.0,1000.0,1015.0,1013.0,1033.0,1168.0,1177.0,1203.0,139.0
18,MA,1133.0,1181.0,1224.0,1303.0,1502.0,1655.0,1592.0,1786.0,1900.0,767.0
19,MD,1134.0,1152.0,1186.0,1220.0,1250.0,1312.0,1486.0,1521.0,1535.0,401.0
20,ME,1262.0,1340.0,1392.0,947.0,988.0,1040.0,1186.0,1279.0,1364.0,102.0
21,MI,821.0,869.0,901.0,1003.0,1043.0,1073.0,1089.0,1132.0,1137.0,316.0
22,MN,1165.0,1101.0,1109.0,1036.0,1058.0,1102.0,1183.0,1233.0,1276.0,111.0
23,MO,831.0,852.0,871.0,809.0,857.0,911.0,999.0,1039.0,998.0,167.0
24,MS,845.0,934.0,948.0,973.0,998.0,1046.0,1150.0,1248.0,1249.0,404.0
25,MT,863.0,856.0,872.0,881.0,923.0,966.0,1188.0,1341.0,1395.0,532.0
26,NC,945.0,958.0,1028.0,1073.0,1091.0,1144.0,1258.0,1429.0,1441.0,496.0
27,ND,,891.0,885.0,891.0,917.0,932.0,899.0,945.0,1006.0,
28,NE,866.0,901.0,930.0,963.0,990.0,1029.0,1099.0,1189.0,1120.0,254.0
29,NH,1128.0,1178.0,1228.0,1257.0,1324.0,1395.0,1549.0,1683.0,1790.0,662.0
30,NJ,1348.0,1377.0,1417.0,1464.0,1506.0,1549.0,1745.0,2020.0,2064.0,716.0
31,NM,822.0,844.0,865.0,984.0,1033.0,1077.0,1247.0,1262.0,1226.0,404.0
32,NV,1043.0,1116.0,1200.0,1308.0,1390.0,1417.0,1600.0,1767.0,1734.0,691.0
33,NY,1024.0,989.0,1072.0,1045.0,1092.0,1127.0,1245.0,1424.0,1491.0,467.0
34,OH,790.0,814.0,836.0,838.0,870.0,907.0,1001.0,1097.0,1039.0,249.0
35,OK,902.0,906.0,920.0,945.0,973.0,1010.0,1088.0,1141.0,1043.0,141.0
36,OR,1065.0,1214.0,1223.0,1299.0,1365.0,1413.0,1573.0,1704.0,1694.0,629.0
37,PA,864.0,887.0,917.0,958.0,999.0,1027.0,1088.0,1171.0,1223.0,359.0
38,SC,989.0,1027.0,1065.0,1118.0,1113.0,1146.0,1273.0,1394.0,1491.0,502.0
39,SD,,837.0,860.0,870.0,884.0,910.0,1001.0,1159.0,1172.0,
40,TN,903.0,927.0,952.0,996.0,1045.0,1102.0,1225.0,1328.0,1370.0,467.0
41,TX,1041.0,1032.0,1002.0,1045.0,1108.0,1145.0,1216.0,1322.0,1358.0,317.0
42,UT,1042.0,1104.0,1170.0,1248.0,1298.0,1338.0,1510.0,1677.0,1701.0,659.0
43,VA,1055.0,1085.0,1105.0,1139.0,1212.0,1250.0,1398.0,1552.0,1611.0,556.0
44,VT,,,1359.0,1398.0,1444.0,1506.0,1623.0,1851.0,1978.0,
45,WA,1010.0,1064.0,1164.0,1275.0,1355.0,1432.0,1512.0,1546.0,1622.0,612.0
46,WI,1022.0,1042.0,1013.0,1038.0,1025.0,1058.0,1007.0,1013.0,1070.0,48.0
47,WV,,998.0,903.0,923.0,940.0,964.0,993.0,893.0,917.0,
48,WY,863.0,895.0,903.0,928.0,971.0,992.0,966.0,1060.0,1063.0,200.0
